Date,Close,High,Low,Open,Volume
2016/08/15,274.1321716,276.6346047,270.150638,271.5695363,3411013
2016/08/16,266.1690369,277.3138956,264.8619355,276.9011143,8837869
2016/08/17,264.9996338,267.4160678,263.5721274,266.2379519,4375406
2016/08/18,263.5118713,266.2808841,262.3939579,264.8189992,3100599
2016/08/19,263.5549011,264.3890455,262.1101793,262.9701209,1914091
2016/08/22,264.2772217,266.2206716,263.1420926,263.2538892,2081270
2016/08/23,263.8988953,265.7563724,262.9701436,264.2858533,1991426
2016/08/24,262.5229492,264.4234127,261.2760235,264.0192391,2277942
2016/08/25,260.5709229,262.6089803,258.0426923,262.4541971,2536258
2016/08/26,259.2293701,261.8951677,258.3264158,260.6826733,2143645
2016/08/29,264.4577942,265.5499104,262.4541421,264.8619677,3805557
2016/08/30,263.0217285,265.291987,261.9984221,264.0020745,2117052
2016/08/31,266.7452393,267.2354122,262.7465168,263.744052,4040144
2016/09/01,265.4725647,268.3017799,265.0769989,266.3239247,1718597
2016/09/02,262.9529114,266.1089082,262.1789693,264.8619826,1857224
2016/09/05,265.2919312,265.7219019,262.9786866,263.3140764,1913870
2016/09/06,266.5302734,266.8914342,265.1629696,265.2919556,2062583
2016/09/07,263.6581116,266.3067203,262.7121705,266.3067203,2964515
2016/09/08,262.9873047,263.5720586,261.7747841,262.4627267,1670578
2016/09/09,261.9639893,263.8816421,261.4222219,263.7010617,1622251
2016/09/12,256.3141174,261.4221712,256.0647271,259.7022885,3823881
2016/09/13,258.3522034,258.8165791,257.3804653,257.9394483,1625588
2016/09/14,257.6126709,259.8743211,256.2711643,258.0684388,1852765
2016/09/19,258.0942078,259.3325254,257.8792224,258.0253978,1285210
2016/09/20,253.6483307,258.6703858,252.8227942,258.6531964,3489260
2016/09/21,252.8658447,254.0181897,248.6177307,253.7343942,3903723
2016/09/22,255.3854523,257.9652769,252.8314248,253.080789,2960617
2016/09/23,255.9873962,257.0795388,254.0267305,255.4198317,1267190
2016/09/26,248.2909393,255.4112545,248.1361299,255.4026467,3717608
2016/09/27,250.3892365,251.0857871,248.3167738,248.4199626,1791582
2016/09/28,248.0157166,250.9223229,247.2847611,250.9223229,2236001
2016/09/29,250.2258148,251.9628874,247.5341934,247.5341934,2370569
2016/09/30,256.1852112,257.6643118,249.3830698,249.3830698,2960350
2016/10/10,260.5278625,261.3018046,256.7011387,256.7011387,2110362
2016/10/11,265.6531067,265.7218905,260.5622421,261.4221835,4173675
2016/10/12,262.9873047,265.2919415,262.196147,265.2919415,1928602
2016/10/13,261.3276672,263.9504786,261.0008852,263.8300742,1614398
2016/10/14,262.7981262,263.1420976,260.7342719,260.9664466,1269092
2016/10/17,260.0892944,262.7121053,259.2723396,262.6691187,1895703
2016/10/18,264.1396179,265.2919363,259.7023169,260.1322876,3038931
2016/10/19,263.5291138,265.506969,262.3681874,265.2919836,1412328
2016/10/20,262.6950073,264.3374992,262.110227,264.3374992,1407992
2016/10/21,261.5855713,262.694903,260.2096598,262.3509055,1148332
2016/10/24,263.941803,264.0020052,260.2182683,260.2182683,2624652
2016/10/25,269.1101379,269.1617323,264.3374724,264.3374724,4376239
2016/10/26,269.74646,273.7279935,268.0007797,269.161706,4681307
2016/10/27,272.4896851,273.6506114,267.45044,269.1531075,3295162
2016/10/28,272.6444092,273.8311325,270.0215984,273.0313933,2013733
2016/10/31,273.4184265,277.589122,272.4294727,274.3213546,4359610
2016/11/01,272.3262634,274.321334,271.3545253,273.4184059,1951239
2016/11/02,271.036377,272.7390707,269.7464646,271.8189269,2063642
2016/11/03,271.6210938,272.1370639,270.1506012,270.8815567,1869081
2016/11/04,270.7267761,273.676369,270.0044284,271.7328929,2061927
2016/11/07,271.1653137,272.6014274,269.3336606,270.8815446,1604780
2016/11/08,275.1812744,277.0559405,271.4663209,272.1714792,3419383
2016/11/09,272.4380493,276.8753504,269.8496171,275.1812646,3000449
2016/11/10,274.4331665,276.0412531,273.2292535,274.4073693,1780496
2016/11/11,270.9503174,273.7193297,270.7095348,273.4527499,3590265
2016/11/14,267.4332275,271.6297467,266.5732859,271.3545591,3992049
2016/11/15,270.0302124,271.4405027,266.6076361,266.6076361,2447055
2016/11/16,269.2906799,271.2255483,268.3017524,269.8582445,1339981
2016/11/17,267.4762268,269.1617049,267.0376482,268.3705471,1833776
2016/11/18,266.5818787,268.1297629,266.4786899,267.579414,1937769
2016/11/21,266.1518555,268.009332,265.1801175,267.4589569,2608384
2016/11/22,265.6101074,266.9688296,265.1801367,266.8398174,2642427
2016/11/23,269.1187439,269.1617305,265.8165449,267.4418472,3401504
2016/11/24,272.5412598,272.601462,267.8029998,269.3336947,3907870
2016/11/25,272.506897,273.4614195,269.5228987,272.635883,2236967
2016/11/28,274.7513733,275.3361273,272.2575476,273.0744765,4925301
2016/11/29,278.5866394,284.1676776,274.6739161,275.783248,5883062
2016/11/30,274.3901367,278.0190911,273.8483956,276.2304242,2675237
2016/12/01,276.0584106,279.1284081,274.0461507,275.1812798,2794182
2016/12/02,276.7033997,277.9331361,274.3213709,276.0412541,3062833
2016/12/05,271.6813049,279.0854147,271.586724,274.4933304,4206081
2016/12/06,280.7021179,280.8396855,271.9393119,271.9393119,3892309
2016/12/07,281.5878601,282.4907882,278.5952542,281.3040647,2527174
2016/12/08,290.4108887,292.3801624,281.2009209,282.0694704,5447578
2016/12/09,290.5140076,291.8813376,287.2376328,289.9722665,3449559
2016/12/12,281.0804443,292.3800874,280.0829354,290.4022326,5033244
2016/12/13,286.3691406,288.0804159,279.9109713,281.0632898,4178000
2016/12/14,285.7327271,287.2806374,282.4907573,286.3604937,3202902
2016/12/15,282.1037903,286.3519033,279.9797338,285.8961353,3920275
2016/12/16,281.699646,283.6775273,278.2598797,281.2008914,2505126
2016/12/19,280.3065491,287.5386609,280.0055643,280.3409541,3047187
2016/12/20,280.7536926,281.2008527,276.7377545,280.3753163,3083159
2016/12/21,282.6283569,283.1701242,278.2426503,281.1148516,2471124
2016/12/22,279.6530151,282.4564069,279.3778275,282.0608411,1467813
2016/12/23,275.2070618,279.0510011,274.4331197,278.2340462,3109555
2016/12/26,279.033844,279.4723963,271.913529,274.347152,2600143
2016/12/27,280.4785156,282.7487475,278.1910681,279.0596174,2006229
2016/12/28,278.3802795,282.0608283,278.0448897,281.192279,1787811
2016/12/29,281.4674072,281.9489723,277.761062,278.6210034,2122512
2016/12/30,287.3494568,288.3298027,280.8654903,280.8654903,3468767
2017/01/03,287.7020264,289.8002857,286.1971287,287.4612438,2076389
2017/01/04,302.6220093,302.8456025,287.7364244,287.7536137,6525738
2017/01/05,298.1761475,302.2264914,297.0582339,300.9795655,4170448
2017/01/06,301.6331177,309.3897813,297.6257868,298.0901626,6809562
